,lower 91191,upper 91191,forecast 91191,lower 74248,upper 74248,forecast 74248,lower 94645,upper 94645,forecast 94645,lower 93856,upper 93856,forecast 93856,lower 74482,upper 74482,forecast 74482,lower 92114,upper 92114,forecast 92114,lower 94278,upper 94278,forecast 94278,lower 69273,upper 69273,forecast 69273,lower 94229,upper 94229,forecast 94229,lower 64920,upper 64920,forecast 64920,lower 74379,upper 74379,forecast 74379,lower 79908,upper 79908,forecast 79908,lower 70156,upper 70156,forecast 70156,lower 92238,upper 92238,forecast 92238,lower 88435,upper 88435,forecast 88435,lower 84504,upper 84504,forecast 84504,lower 80293,upper 80293,forecast 80293,lower 80296,upper 80296,forecast 80296,lower 67353,upper 67353,forecast 67353,lower 88815,upper 88815,forecast 88815
2019-03-01,195657.41182723528,226151.15463804282,210904.28323263905,211899.4569399274,257764.0891486451,234831.77304428624,126176.2091619056,216915.52337342975,171545.86626766768,146130.4800016023,228761.1607741548,187445.82038787854,173041.82530019496,219606.2714082456,196324.0483542203,168188.91244222783,190657.5285999425,179423.22052108517,186493.4844944199,292663.4005601663,239578.4425272931,173425.85735793546,200874.99084186106,187150.42409989826,147712.08368857324,237592.22940545183,192652.15654701254,149631.01088119944,220323.39836125262,184977.20462122603,176459.65036649496,222436.81448225997,199448.23242437746,90108.70532603338,308295.67462911,199202.18997757172,139949.7688223743,215358.27614968433,177654.0224860293,186797.79262193924,245724.95256426217,216261.3725931007,119063.49863918738,211172.48775412497,165117.99319665617,164601.81957306288,241106.25623506622,202854.03790406455,181546.3153378543,213757.8043768685,197652.0598573614,151770.51901399862,251678.78414188576,201724.6515779422,115812.72983386737,229161.76743601335,172487.24863494036,139579.93992940127,198275.91617023438,168927.92804981783
2019-04-01,194621.08411016435,229339.13555245692,211980.10983131063,211445.63335263514,263513.3108912577,237479.47212194643,114878.04741895727,218772.40486642445,166825.22614269087,140856.7688095675,234937.71787700395,187897.24334328572,171300.45838871278,224324.79795484344,197812.6281717781,166246.10091592607,191754.56130659397,179000.33111126002,180995.61862154852,301850.28551484377,241422.95206819614,171996.87931939051,203184.57057481038,187590.72494710045,140806.55936419964,243681.1780037916,192243.86868399562,144905.63148922028,225215.13117799695,185060.38133360862,174427.3151554571,226665.62674227016,200546.47094886363,75035.86485420821,324506.0006453139,199770.93274976104,134338.17132057616,220121.9634338346,177230.06737720539,186007.1874724403,252908.22200032242,219457.70473638136,104593.08692017404,209364.91003458752,156978.99847738078,159107.45434555953,246392.93061216798,202750.19247886376,178729.02963404762,215364.43969150583,197046.73466277673,143922.11575306882,257825.4872390179,200873.80149604336,108572.02914076782,237752.89013670298,173162.4596387354,131939.40612540767,199139.29358836042,165539.34985688404
2019-05-01,193220.76848970985,232602.82836118687,212911.79842544836,209218.7312819602,268597.54875372845,238908.14001784433,102370.50967127146,221199.9887255898,161785.24919843063,133840.1724432222,241153.56223314005,187496.86733818112,169056.15255485513,229298.8958835413,199177.5242191982,164185.6375601096,193086.70048127254,178636.16902069107,174943.17906422494,312847.87323499523,243895.5261496101,170485.3273789903,205853.54732740676,188169.43735319853,132226.01147253052,249901.45448290723,191063.73297771887,139441.74932571076,230887.2869969008,185164.51816130578,171932.95981101302,231376.72244470834,201654.84112786068,57936.92724006652,342623.6064706641,200280.2668553653,126228.8809782097,223589.59735197455,174909.23916509212,183710.38424399227,260028.41201250348,221869.39812824788,87992.80538858051,207019.7432910929,147506.2743398367,151967.56424860616,251557.76027122635,201762.66225991625,175634.04355963517,217201.2504461262,196417.6470028807,135147.4296352302,265177.2908356618,200162.36023544602,100949.32730527056,248022.62054705774,174485.97392616415,123583.04084925044,200119.8659468174,161851.45339803392
2019-06-01,191604.25371333206,236118.41437400266,213861.33404366736,206660.36653842079,274441.2674238729,240550.81698114684,89070.78464829779,224981.80073002152,157026.29268915966,125022.82603524571,247529.1593014436,186275.99266834467,166140.20211802685,234420.38384507323,200280.29298155004,161761.24196800776,194398.5235658806,178079.88276694418,167930.00444135792,325475.4605001981,246702.73247077802,168592.36521168632,208586.62781205753,188589.49651187193,122192.54112247343,256845.04683186178,189518.7939771676,133805.5352179006,237928.88336056418,185867.20928923239,169396.89177569308,237007.8342908245,203202.3630332588,37649.88159842856,362169.40327621566,199909.64243732212,114928.65299777349,225127.7923912595,170028.2226945165,180108.92736065807,267270.2620356443,223689.5946981512,73400.20390589167,208357.85461056506,140879.02925822837,143883.34226715274,257525.91982273775,200704.63104494524,171935.37587051964,218963.54356908836,195449.459719804,124462.56663968897,273041.80787862395,198752.18725915646,89324.8421719222,256581.3471343019,172953.09465311206,114114.92090211212,200946.90140575965,157530.9111539359
2019-07-01,189783.71022333647,239870.08998607215,214826.9001047043,204148.50779471485,281304.1212093054,242726.31450201015,74457.26818151498,229614.48514934513,152035.87666543006,115087.64514932189,254625.1347120531,184856.3899306875,162496.858946814,239585.3435622816,201041.1012545478,159159.0635410596,195843.08197146087,177501.07275626023,160441.6915677967,340047.3963617434,250244.54396477004,166192.10554257914,211218.77325721865,188705.4393998989,110415.67859524979,264233.53531128773,187324.60695326875,126330.68327711732,244525.30489264982,185427.99408488357,166446.40632722885,243096.31207955597,204771.3592033924,15297.100863084604,384227.67637866124,199762.38862087292,103535.54655379296,227744.17607247765,165639.8613131353,175293.4647702544,274570.424100555,224931.9444354047,56861.2774319389,209300.8074288497,133081.0424303943,134225.89235553943,263611.2341135393,198918.56323453935,167851.3068525324,220830.12669186885,194340.71677220063,111162.37039371536,280610.54943961813,195886.45991666673,73712.00312104617,263332.84083672566,168522.42197888592,103815.80056954877,201898.76965551244,152857.2851125306
2019-08-01,187636.7772414813,243698.00729233853,215667.3922669099,199644.5201213488,287036.0210012389,243340.27056129384,58227.5678976771,234671.2678267566,146449.41786221685,105738.36521885976,263962.95935174124,184850.6622853005,158241.09326168982,244840.2598209661,201540.67654132796,156542.18358155744,197553.36025621553,177047.7719188865,155314.6462867579,359154.19247883477,257234.41938279633,163632.23279645448,214058.23173180912,188845.2322641318,97281.48170298358,272321.03937107325,184801.26053702843,116567.05151070426,250074.67082205642,183320.86116638035,163472.4804742362,249940.0062077992,206706.2433410177,-8783.077450928482,408836.5319180974,200026.72723358445,93302.59985098965,232583.25509868684,162942.92747483824,168863.75744439682,281382.2148596431,225122.98615201993,37264.81966796305,208588.15749328962,122926.48858062633,123546.89262988137,270225.1870763998,196886.0398531406,163686.6636154023,223060.16631123674,193373.41496331952,96054.73789558925,288482.4377723431,192268.5878339662,57720.32482701837,271695.62960834446,164707.97721768141,92975.32365767479,203214.04521155916,148094.68443461697
2019-09-01,185169.72117087856,247574.01061986032,216371.86589536944,194036.41036206295,292434.01785906276,243235.21411056287,40316.69672558899,239921.18674553453,140118.94173556176,97258.74198606511,275656.49738211744,186457.61968409127,153581.41337278544,250329.9357154098,201955.67454409762,153657.1507420331,199251.3278598269,176454.23930093,152376.51189781635,382397.0012845374,267386.75659117685,160965.1459621987,217124.35153415168,189044.7487481752,83243.67344166404,281389.31050099013,182316.49197132708,104879.70626660451,254815.23657579676,179847.47142120064,160701.41122628847,257687.03496586328,209194.22309607588,-35131.852360084915,435095.6148965147,199981.8812682149,81655.55518876272,236974.8345037083,159315.1948462355,161710.40112900245,288476.50720132043,225093.45416516144,16186.472641849527,207664.00872172718,111925.24068178835,113897.2410757175,279271.49137335294,196584.36622453522,159324.1337748137,225496.43504138364,192410.28440809867,81379.32003009859,298686.73912007315,190033.02957508588,41498.82649072015,281631.76069381373,161565.29359226694,81282.75664401893,204517.7760269249,142900.2663354719
2019-10-01,182795.59322429146,251882.19327722007,217338.89325075576,188622.49571116455,298724.169101037,243673.3324061008,22008.376264571605,246485.15761094878,134246.7669377602,87557.31322013041,287472.727156339,187515.0201882347,148982.51379719464,256465.42785804602,202723.97082762033,150341.4682029815,200754.64283570336,175548.05551934242,145149.9226763727,403110.9187512699,274130.4207138213,158476.0505336394,220675.52451777554,189575.78752570748,68597.94360124019,291567.2195383216,180082.5815697809,94490.7167643793,261867.3304477845,178179.0236060819,157072.20734487986,265213.4997206883,211142.8535327841,-63029.386917334545,463387.156750103,200178.8849163842,67720.54250596403,239965.82212991922,153843.18231794162,155004.76882333827,296929.5916888926,225967.18025611542,-4019.3258301323513,208774.61073566155,102377.6424527646,105198.08525376697,290541.5834534066,197869.83435358678,154742.0857136891,228084.46482100227,191413.27526734569,66008.80149850468,309914.8127690118,187961.80713375827,23055.71739673891,290989.1642269371,157022.440811838,68955.76482289382,205965.10856517748,137460.43669403566
2019-11-01,180268.93389322254,256353.23109537503,218311.08249429878,183667.13809202335,306113.38181407657,244890.25995304997,2990.1411369119305,253907.11497372526,128448.6280553186,76489.63180868256,299152.8504916973,187821.24115018995,144314.89129324027,263073.22661703546,203694.05895513785,146589.09412601148,202041.12116851582,174315.10764726365,130941.224739508,418451.3686614692,274696.2967004886,155811.38550123945,224336.41366298392,190073.89958211168,52678.8146300855,302043.2370606184,177361.02584535195,87103.3396081376,272852.8175950319,179978.07860158477,152259.70651275123,272143.783932585,212201.7452226681,-91989.20556203515,493905.9926014373,200958.3935197011,54185.489030327866,244179.52724257397,149182.50813645092,147824.00677862333,305743.08506784355,226783.54592323344,-23709.705322719718,211474.98980970815,93882.64224349422,95127.0794365722,301605.30817049276,198366.1938035325,150205.4520088942,231062.42552156592,190633.93876523006,49486.826925386325,321561.6361080746,185524.23151673048,1744.4797397924995,298989.3746165701,150366.9271781813,56591.42790816452,208097.48659052025,132344.45724934238
2019-12-01,177577.5551920896,260955.23497888216,219266.39508548588,179624.1674939709,315009.3251894564,247316.74634171365,-16935.475080276112,261868.25698953544,122466.39095462966,64839.14969990935,311388.1515217925,188113.65061085095,139419.43944419254,269958.143563313,204688.7915037528,142735.9794506603,203433.42075066915,173084.70010066472,112731.02459248691,431277.611576039,272004.31808426295,152966.2106098729,228084.20833895516,190525.20947441403,36013.60050712034,313221.9226267607,174617.76156694052,81069.4613203905,286057.8735793001,183563.66744984532,146548.44803805847,278721.5951167863,212635.0215774224,-122560.48301608846,525858.8759275799,201649.19645574575,40159.767454336936,248672.32794554974,144416.04769994333,139574.70249590668,314262.95850389835,226918.8304999025,-43131.065153464675,215447.04295288504,86157.98889971018,83037.50741636135,311727.837483766,197382.6724500637,145316.65152093524,234010.77695721883,189663.71423907703,31701.3194341379,333394.67097459873,182547.99520436832,-19634.392602715554,308325.0828078098,144345.34510254711,44244.18687579944,210921.58724391696,127582.8870598582
2020-01-01,174689.18850978525,265639.5135539162,220164.3510318507,175229.61568762112,324110.4161317052,249670.01590966317,-38987.291910032305,269048.7570656114,115030.73257778957,52724.226034382504,324222.01904619194,188473.1225402872,133975.46577319634,276769.6368544948,205372.5513138456,139044.69140689375,205183.01158605076,172113.85149647226,95065.02973384171,446036.8205105069,270550.9251221743,149942.61455952108,231906.13736750395,190924.37596351252,18803.77153902524,325202.94582731614,172003.3586831707,72105.66450220285,297145.3130792687,184625.48879073578,141198.9184295885,286173.9351255945,213686.4267775915,-156213.6327488551,557572.8049382381,200679.58609469153,24246.928924382897,252003.8130743754,138125.37099937914,130392.03291909749,322575.04701590224,226483.53996749988,-63002.30597724639,219912.66109480604,78455.17755877982,70495.59275312183,322403.29269341147,196449.44272326663,140245.18007711932,237080.78131262108,188662.9806948702,12971.734960598842,345635.3415555877,179303.53825809326,-40002.878380248876,319985.7184173856,139991.42001856837,31391.72433521645,213874.58133190472,122633.15283356058
2020-02-01,171904.78317261845,270693.1555523266,221298.96936247253,170634.6521621144,333536.7004124145,252085.67628726445,-63035.13795522475,275494.7731943248,106229.81761955001,41635.60961924479,339083.39571861096,190359.50266892786,128687.59503507309,284187.33203630336,206437.4635356882,135187.60517677013,206952.8767790944,171070.24097793226,79079.9515792178,463784.57770689216,271432.264643055,146885.8377002795,235934.91381871462,191410.37575949705,1337.7473497936444,338190.27896165464,169764.01315572415,60939.44691174991,306797.98733537795,183868.71712356393,135891.3789392567,294153.20561794005,215022.29227859838,-192698.85292288818,589128.8903610192,198215.01871906547,6606.926071382841,254296.9826026893,130451.95433703606,123969.0063023386,334331.57111525355,229150.28870879608,-82875.28244581804,225270.4378830405,71197.57771861122,58495.98215038437,334566.7705842146,196531.37636729947,135229.8940467673,240495.95096023075,187862.92250349902,-5965.984501299245,358938.9133536732,176486.46442618698,-59542.101937726664,333716.5297715804,137087.21391692688,18165.559455004157,217053.638803342,117609.59912917309
2020-03-01,169103.58513130312,275983.5504781089,222543.56780470602,167399.59846472414,344822.3533303921,256110.97589755812,-88461.63588550579,281753.3586839796,96645.86139923692,30341.571999156207,354688.8505831812,192515.2112911687,123762.47063061758,292396.6510866115,208079.56085861454,131395.17899254698,208965.41094666242,170180.2949696047,64656.06204148129,484333.3547264007,274494.708383941,143614.1041840321,239978.05206102823,191796.07812253016,-16315.047387087921,352182.78909801855,167933.8708554653,49587.133198195486,316994.6031917099,183290.8681949527,130440.64429132936,302450.7065452415,216445.67541828545,-229575.103037184,622826.4846548503,196625.69080883317,-10129.04250848203,258151.56195060062,124011.2597210593,119572.46029626633,348765.13275722496,234168.79652674563,-105282.48388467357,228945.84818107443,61831.68214820043,46354.064261023566,347483.859339249,196918.96180013625,130066.91732049944,244039.3158879095,187053.11660420446,-24734.52836536034,373615.3876602349,174440.42964743727,-77789.46014599988,349918.12590968446,136064.3328818423,4421.8627838855755,220285.6438347564,112353.75330932098
2020-04-01,165918.0491340575,281132.83112602506,223525.4401300413,162443.1302474977,354863.7680972985,258653.4491723981,-114363.06852486244,288668.783774363,87152.8576247503,16844.039219822618,368996.43456404074,192920.23689193168,118535.46139773035,300714.6053458457,209625.033371788,127682.8452902356,211228.8753536283,169455.86032193195,48736.71691581883,504569.0155301313,276652.8662229751,140302.52945228302,244201.29295485452,192251.91120356877,-35228.547762570815,366046.9696897757,165409.21096360244,38336.58502767363,327990.8844797032,183163.73475368842,124216.10298342237,310415.70666711964,217315.904825271,-266194.3824136011,659193.2633716855,196499.44047904224,-26592.76621364111,262908.61761916016,118157.92570275952,113550.76802983801,362194.95000994543,237872.8590198917,-131046.19182025373,230080.48687569867,49517.14752772246,32223.426802622707,359265.94028905174,195744.68354583724,124417.12753364966,247360.32629336888,185888.72691350928,-44829.970669100905,388111.7357426565,171640.8825367778,-96681.64120546219,366600.9279685038,134959.64338152081,-9751.516163470369,223633.2557478539,106940.86979219176
